date,stock_id,market_value
2015-01-21,1315,5692500000.0
2015-01-22,1315,5672700000.0
2015-01-23,1315,5652900000.0
2015-01-26,1315,5603400000.0
2015-01-27,1315,5613300000.0
2015-01-28,1315,5623200000.0
2015-01-29,1315,5652900000.0
2015-01-30,1315,5623200000.0
2015-02-02,1315,5603400000.0
2015-02-03,1315,5633100000.0
2015-02-04,1315,5623200000.0
2015-02-05,1315,5623200000.0
2015-02-06,1315,5593500000.0
2015-02-09,1315,5603400000.0
2015-02-10,1315,5623200000.0
2015-02-11,1315,5633100000.0
2015-02-12,1315,5633100000.0
2015-02-13,1315,5633100000.0
2015-02-24,1315,5613300000.0
2015-02-25,1315,5573700000.0
2015-02-26,1315,5583600000.0
2015-03-02,1315,5583600000.0
2015-03-03,1315,5583600000.0
2015-03-04,1315,5553900000.0
2015-03-05,1315,5553900000.0
2015-03-06,1315,5573700000.0
2015-03-09,1315,5573700000.0
2015-03-10,1315,5544000000.0
2015-03-11,1315,5524200000.0
2015-03-12,1315,5534100000.0
2015-03-13,1315,5504400000.0
2015-03-16,1315,5514300000.0
2015-03-17,1315,5484600000.0
2015-03-18,1315,5484600000.0
2015-03-19,1315,5474700000.0
2015-03-20,1315,5445000000.0
2015-03-23,1315,5445000000.0
2015-03-24,1315,5454900000.0
2015-03-25,1315,5464800000.0
2015-03-26,1315,5484600000.0
2015-03-27,1315,5524200000.0
2015-03-30,1315,5524200000.0
2015-03-31,1315,5524200000.0
2015-04-01,1315,5514300000.0
2015-04-02,1315,5524200000.0
2015-04-07,1315,5464800000.0
2015-04-08,1315,5474700000.0
2015-04-09,1315,5504400000.0
2015-04-10,1315,5494500000.0
2015-04-13,1315,5464800000.0
2015-04-14,1315,5445000000.0
2015-04-15,1315,5435100000.0
2015-04-16,1315,5445000000.0
2015-04-17,1315,5454900000.0
2015-04-20,1315,5435100000.0
2015-04-21,1315,5445000000.0
2015-04-22,1315,5435100000.0
2015-04-23,1315,5445000000.0
2015-04-24,1315,5544000000.0
2015-04-27,1315,5544000000.0
2015-04-28,1315,5563800000.0
2015-04-29,1315,5563800000.0
2015-04-30,1315,5583600000.0
2015-05-04,1315,5563800000.0
2015-05-05,1315,5544000000.0
2015-05-06,1315,5573700000.0
2015-05-07,1315,5563800000.0
2015-05-08,1315,5563800000.0
2015-05-11,1315,5563800000.0
2015-05-12,1315,5573700000.0
2015-05-13,1315,5563800000.0
2015-05-14,1315,5553900000.0
2015-05-15,1315,5534100000.0
2015-05-18,1315,5504400000.0
2015-05-19,1315,5524200000.0
2015-05-20,1315,5514300000.0
2015-05-21,1315,5445000000.0
2015-05-22,1315,5435100000.0
2015-05-25,1315,5425200000.0
2015-05-26,1315,5435100000.0
2015-05-27,1315,5415300000.0
2015-05-28,1315,5425200000.0
2015-05-29,1315,5435100000.0
2015-06-01,1315,5474700000.0
2015-06-02,1315,5415300000.0
2015-06-03,1315,5375700000.0
2015-06-04,1315,5247000000.0
2015-06-05,1315,5207400000.0
2015-06-08,1315,5148000000.0
2015-06-09,1315,5049000000.0
2015-06-10,1315,5138100000.0
2015-06-11,1315,5009400000.0
2015-06-12,1315,5029200000.0
2015-06-15,1315,5058900000.0
2015-06-16,1315,5049000000.0
2015-06-17,1315,5039100000.0
2015-06-18,1315,5029200000.0
2015-06-22,1315,5019300000.0
2015-06-23,1315,4930200000.0
2015-06-24,1315,4930200000.0
2015-06-25,1315,4930200000.0
2015-06-26,1315,4930200000.0
2015-06-29,1315,4870800000.0
2015-06-30,1315,4870800000.0
2015-07-01,1315,4860900000.0
2015-07-02,1315,4870800000.0
2015-07-03,1315,4890600000.0
2015-07-06,1315,4880700000.0
2015-07-07,1315,4880700000.0
2015-07-08,1315,4662900000.0
2015-07-09,1315,4633200000.0
2015-07-13,1315,4643100000.0
2015-07-14,1315,4643100000.0
2015-07-15,1315,4643100000.0
2015-07-16,1315,4643100000.0
2015-07-17,1315,4633200000.0
2015-07-20,1315,4682700000.0
2015-07-21,1315,4623300000.0
2015-07-22,1315,4633200000.0
2015-07-23,1315,4633200000.0
2015-07-24,1315,4633200000.0
2015-07-27,1315,4603500000.0
2015-07-28,1315,4613400000.0
2015-07-29,1315,4633200000.0
2015-07-30,1315,4643100000.0
2015-07-31,1315,4633200000.0
2015-08-03,1315,4593600000.0
2015-08-04,1315,4554000000.0
2015-08-05,1315,4583700000.0
2015-08-06,1315,4583700000.0
2015-08-07,1315,4593600000.0
2015-08-10,1315,4672800000.0
2015-08-11,1315,4672800000.0
2015-08-12,1315,4662900000.0
2015-08-13,1315,4672800000.0
2015-08-14,1315,4702500000.0
2015-08-17,1315,4702500000.0
2015-08-18,1315,4692600000.0
2015-08-19,1315,4662900000.0
2015-08-20,1315,4633200000.0
2015-08-21,1315,4593600000.0
2015-08-24,1315,4237200000.0
2015-08-25,1315,4266900000.0
2015-08-26,1315,4266900000.0
2015-08-27,1315,4247100000.0
2015-08-28,1315,4276800000.0
2015-08-31,1315,4306500000.0
2015-09-01,1315,4336200000.0
2015-09-02,1315,4375800000.0
2015-09-03,1315,4375800000.0
2015-09-04,1315,4375800000.0
2015-09-07,1315,4356000000.0
2015-09-08,1315,4385700000.0
2015-09-09,1315,4435200000.0
2015-09-10,1315,4554000000.0
2015-09-11,1315,4524300000.0
2015-09-14,1315,4524300000.0
2015-09-15,1315,4494600000.0
2015-09-16,1315,4534200000.0
2015-09-17,1315,4593600000.0
2015-09-18,1315,4593600000.0
2015-09-21,1315,4573800000.0
2015-09-22,1315,4554000000.0
2015-09-23,1315,4504500000.0
2015-09-24,1315,4554000000.0
2015-09-25,1315,4494600000.0
2015-09-30,1315,4524300000.0
2015-10-01,1315,4534200000.0
2015-10-02,1315,4544100000.0
2015-10-05,1315,4534200000.0
2015-10-06,1315,4554000000.0
2015-10-07,1315,4563900000.0
2015-10-08,1315,4563900000.0
2015-10-12,1315,4583700000.0
2015-10-13,1315,4593600000.0
2015-10-14,1315,4583700000.0
2015-10-15,1315,4593600000.0
2015-10-16,1315,4583700000.0
2015-10-19,1315,4573800000.0
2015-10-20,1315,4613400000.0
2015-10-21,1315,4603500000.0
2015-10-22,1315,4593600000.0
2015-10-23,1315,4603500000.0
2015-10-26,1315,4583700000.0
2015-10-27,1315,4692600000.0
2015-10-28,1315,4682700000.0
2015-10-29,1315,4653000000.0
2015-10-30,1315,4672800000.0
2015-11-02,1315,4682700000.0
2015-11-03,1315,4662900000.0
2015-11-04,1315,4752000000.0
2015-11-05,1315,4761900000.0
2015-11-06,1315,4781700000.0
2015-11-09,1315,4761900000.0
2015-11-10,1315,4761900000.0
2015-11-11,1315,4692600000.0
2015-11-12,1315,4682700000.0
2015-11-13,1315,4692600000.0
2015-11-16,1315,4653000000.0
2015-11-17,1315,4702500000.0
2015-11-18,1315,4692600000.0
2015-11-19,1315,4662900000.0
2015-11-20,1315,4712400000.0
2015-11-23,1315,4682700000.0
2015-11-24,1315,4593600000.0
2015-11-25,1315,4633200000.0
2015-11-26,1315,4653000000.0
2015-11-27,1315,4672800000.0
2015-11-30,1315,4643100000.0
2015-12-01,1315,4643100000.0
2015-12-02,1315,4672800000.0
2015-12-03,1315,4682700000.0
2015-12-04,1315,4682700000.0
2015-12-07,1315,4682700000.0
2015-12-08,1315,4692600000.0
2015-12-09,1315,4682700000.0
2015-12-10,1315,4672800000.0
2015-12-11,1315,4633200000.0
2015-12-14,1315,4524300000.0
2015-12-15,1315,4583700000.0
2015-12-16,1315,4603500000.0
2015-12-17,1315,4494600000.0
2015-12-18,1315,4573800000.0
2015-12-21,1315,4593600000.0
2015-12-22,1315,4514400000.0
2015-12-23,1315,4554000000.0
2015-12-24,1315,4583700000.0
2015-12-25,1315,4593600000.0
2015-12-28,1315,4573800000.0
2015-12-29,1315,4583700000.0
2015-12-30,1315,4514400000.0
2015-12-31,1315,4524300000.0
2016-01-04,1315,4484700000.0
2016-01-05,1315,4504500000.0
2016-01-06,1315,4504500000.0
2016-01-07,1315,4474800000.0
2016-01-08,1315,4474800000.0
2016-01-11,1315,4484700000.0
2016-01-12,1315,4464900000.0
2016-01-13,1315,4425300000.0
2016-01-14,1315,4445100000.0
2016-01-15,1315,4455000000.0
2016-01-18,1315,4464900000.0
2016-01-19,1315,4464900000.0
2016-01-20,1315,4435200000.0
2016-01-21,1315,4534200000.0
2016-01-22,1315,4524300000.0
2016-01-25,1315,4504500000.0
2016-01-26,1315,4524300000.0
2016-01-27,1315,4504500000.0
2016-01-28,1315,4494600000.0
2016-01-29,1315,4484700000.0
2016-02-01,1315,4514400000.0
2016-02-02,1315,4544100000.0
2016-02-15,1315,4534200000.0
2016-02-16,1315,4563900000.0
2016-02-17,1315,4544100000.0
2016-02-18,1315,4573800000.0
2016-02-19,1315,4583700000.0
2016-02-22,1315,4603500000.0
2016-02-23,1315,4593600000.0
2016-02-24,1315,4633200000.0
2016-02-25,1315,4593600000.0
2016-02-26,1315,4623300000.0
2016-03-01,1315,4662900000.0
2016-03-02,1315,4672800000.0
2016-03-03,1315,4682700000.0
2016-03-04,1315,4682700000.0
2016-03-07,1315,4811400000.0
2016-03-08,1315,4811400000.0
2016-03-09,1315,4950000000.0
2016-03-10,1315,4890600000.0
2016-03-11,1315,4851000000.0
2016-03-14,1315,4831200000.0
2016-03-15,1315,4821300000.0
2016-03-16,1315,4851000000.0
2016-03-17,1315,4821300000.0
2016-03-18,1315,4831200000.0
2016-03-21,1315,4860900000.0
2016-03-22,1315,4851000000.0
2016-03-23,1315,4851000000.0
2016-03-24,1315,4841100000.0
2016-03-25,1315,4851000000.0
2016-03-28,1315,4831200000.0
2016-03-29,1315,4860900000.0
2016-03-30,1315,4851000000.0
2016-03-31,1315,4831200000.0
2016-04-01,1315,4811400000.0
2016-04-06,1315,4821300000.0
2016-04-07,1315,4801500000.0
2016-04-08,1315,4821300000.0
2016-04-11,1315,4811400000.0
2016-04-12,1315,4761900000.0
2016-04-13,1315,4761900000.0
2016-04-14,1315,4781700000.0
2016-04-15,1315,4791600000.0
2016-04-18,1315,4791600000.0
2016-04-19,1315,4791600000.0
2016-04-20,1315,4732200000.0
2016-04-21,1315,4722300000.0
2016-04-22,1315,4752000000.0
2016-04-25,1315,4752000000.0
2016-04-26,1315,4761900000.0
2016-04-27,1315,4841100000.0
2016-04-28,1315,4761900000.0
2016-04-29,1315,4682700000.0
2016-05-03,1315,4682700000.0
2016-05-04,1315,4643100000.0
2016-05-05,1315,4603500000.0
2016-05-06,1315,4633200000.0
2016-05-09,1315,4583700000.0
2016-05-10,1315,4633200000.0
2016-05-11,1315,4603500000.0
2016-05-12,1315,4593600000.0
2016-05-13,1315,4583700000.0
2016-05-16,1315,4593600000.0
2016-05-17,1315,4682700000.0
2016-05-18,1315,4633200000.0
2016-05-19,1315,4633200000.0
2016-05-20,1315,4653000000.0
2016-05-23,1315,4662900000.0
2016-05-24,1315,4653000000.0
2016-05-25,1315,4662900000.0
2016-05-26,1315,4692600000.0
2016-05-27,1315,4702500000.0
2016-05-30,1315,4742100000.0
2016-05-31,1315,4781700000.0
2016-06-01,1315,4811400000.0
2016-06-02,1315,4821300000.0
2016-06-03,1315,4841100000.0
2016-06-06,1315,4821300000.0
2016-06-07,1315,4851000000.0
2016-06-08,1315,4811400000.0
2016-06-13,1315,4742100000.0
2016-06-14,1315,4831200000.0
2016-06-15,1315,4880700000.0
2016-06-16,1315,4841100000.0
2016-06-17,1315,4811400000.0
2016-06-20,1315,4841100000.0
2016-06-21,1315,4831200000.0
2016-06-22,1315,4841100000.0
2016-06-23,1315,4841100000.0
2016-06-24,1315,4791600000.0
2016-06-27,1315,4821300000.0
2016-06-28,1315,4851000000.0
2016-06-29,1315,4860900000.0
2016-06-30,1315,4870800000.0
2016-07-01,1315,4900500000.0
2016-07-04,1315,4910400000.0
2016-07-05,1315,4920300000.0
2016-07-06,1315,4890600000.0
2016-07-07,1315,4999500000.0
2016-07-11,1315,5039100000.0
2016-07-12,1315,5058900000.0
2016-07-13,1315,5068800000.0
2016-07-14,1315,4860900000.0
2016-07-15,1315,4841100000.0
2016-07-18,1315,4870800000.0
2016-07-19,1315,4851000000.0
2016-07-20,1315,4880700000.0
2016-07-21,1315,4880700000.0
2016-07-22,1315,4851000000.0
2016-07-25,1315,4831200000.0
2016-07-26,1315,4801500000.0
2016-07-27,1315,4831200000.0
2016-07-28,1315,4860900000.0
2016-07-29,1315,4811400000.0
2016-08-01,1315,4831200000.0
2016-08-02,1315,4831200000.0
2016-08-03,1315,4821300000.0
2016-08-04,1315,4791600000.0
2016-08-05,1315,4841100000.0
2016-08-08,1315,4821300000.0
2016-08-09,1315,4771800000.0
2016-08-10,1315,4831200000.0
2016-08-11,1315,4841100000.0
2016-08-12,1315,4870800000.0
2016-08-15,1315,4841100000.0
2016-08-16,1315,4841100000.0
2016-08-17,1315,4910400000.0
2016-08-18,1315,4890600000.0
2016-08-19,1315,4841100000.0
2016-08-22,1315,4791600000.0
2016-08-23,1315,4831200000.0
2016-08-24,1315,4821300000.0
2016-08-25,1315,4831200000.0
2016-08-26,1315,4841100000.0
2016-08-29,1315,4821300000.0
2016-08-30,1315,4811400000.0
2016-08-31,1315,4811400000.0
2016-09-01,1315,4801500000.0
2016-09-02,1315,4781700000.0
2016-09-05,1315,4811400000.0
2016-09-06,1315,4821300000.0
2016-09-07,1315,4811400000.0
2016-09-08,1315,4860900000.0
2016-09-09,1315,4851000000.0
2016-09-12,1315,4801500000.0
2016-09-13,1315,4781700000.0
2016-09-14,1315,4791600000.0
2016-09-19,1315,4831200000.0
2016-09-20,1315,4841100000.0
2016-09-21,1315,4950000000.0
2016-09-22,1315,4910400000.0
2016-09-23,1315,4870800000.0
2016-09-26,1315,4880700000.0
2016-09-29,1315,4890600000.0
2016-09-30,1315,4900500000.0
2016-10-03,1315,4870800000.0
2016-10-04,1315,4851000000.0
2016-10-05,1315,4870800000.0
2016-10-06,1315,4851000000.0
2016-10-07,1315,4890600000.0
2016-10-11,1315,4880700000.0
2016-10-12,1315,4910400000.0
2016-10-13,1315,4910400000.0
2016-10-14,1315,4910400000.0
2016-10-17,1315,4920300000.0
2016-10-18,1315,4920300000.0
2016-10-19,1315,4959900000.0
2016-10-20,1315,4940100000.0
2016-10-21,1315,4940100000.0
2016-10-24,1315,4969800000.0
2016-10-25,1315,4950000000.0
2016-10-26,1315,4959900000.0
2016-10-27,1315,4959900000.0
2016-10-28,1315,4989600000.0
2016-10-31,1315,4969800000.0
2016-11-01,1315,4950000000.0
2016-11-02,1315,4979700000.0
2016-11-03,1315,4999500000.0
2016-11-04,1315,4989600000.0
2016-11-07,1315,4989600000.0
2016-11-08,1315,4950000000.0
2016-11-09,1315,4940100000.0
2016-11-10,1315,4930200000.0
2016-11-11,1315,4979700000.0
2016-11-14,1315,4910400000.0
2016-11-15,1315,4940100000.0
2016-11-16,1315,4910400000.0
2016-11-17,1315,4910400000.0
2016-11-18,1315,4969800000.0
2016-11-21,1315,4969800000.0
2016-11-22,1315,4940100000.0
2016-11-23,1315,4940100000.0
2016-11-24,1315,4969800000.0
2016-11-25,1315,4950000000.0
2016-11-28,1315,4950000000.0
2016-11-29,1315,4950000000.0
2016-11-30,1315,4959900000.0
2016-12-01,1315,4999500000.0
2016-12-02,1315,5019300000.0
2016-12-05,1315,4950000000.0
2016-12-06,1315,4959900000.0
2016-12-07,1315,4979700000.0
2016-12-08,1315,4989600000.0
2016-12-09,1315,5019300000.0
2016-12-12,1315,5009400000.0
2016-12-13,1315,5039100000.0
2016-12-14,1315,5029200000.0
2016-12-15,1315,5019300000.0
2016-12-16,1315,5009400000.0
2016-12-19,1315,4999500000.0
2016-12-20,1315,4989600000.0
2016-12-21,1315,4969800000.0
2016-12-22,1315,4969800000.0
2016-12-23,1315,4969800000.0
2016-12-26,1315,4930200000.0
2016-12-27,1315,4920300000.0
2016-12-28,1315,4989600000.0
2016-12-29,1315,4979700000.0
2016-12-30,1315,5039100000.0
2017-01-03,1315,4969800000.0
2017-01-04,1315,4989600000.0
2017-01-05,1315,4989600000.0
2017-01-06,1315,4979700000.0
2017-01-09,1315,4959900000.0
2017-01-10,1315,4969800000.0
2017-01-11,1315,4989600000.0
2017-01-12,1315,4979700000.0
2017-01-13,1315,4969800000.0
2017-01-16,1315,4969800000.0
2017-01-17,1315,4989600000.0
2017-01-18,1315,5019300000.0
2017-01-19,1315,5029200000.0
2017-01-20,1315,5009400000.0
2017-01-23,1315,5009400000.0
2017-01-24,1315,5098500000.0
2017-02-02,1315,5148000000.0
2017-02-03,1315,5157900000.0
2017-02-06,1315,5266800000.0
2017-02-07,1315,5266800000.0
2017-02-08,1315,5237100000.0
2017-02-09,1315,5207400000.0
2017-02-10,1315,5197500000.0
2017-02-13,1315,5217300000.0
2017-02-14,1315,5207400000.0
2017-02-15,1315,5227200000.0
2017-02-16,1315,5197500000.0
2017-02-17,1315,5167800000.0
2017-02-20,1315,5177700000.0
2017-02-21,1315,5148000000.0
2017-02-22,1315,5207400000.0
2017-02-23,1315,5197500000.0
2017-02-24,1315,5187600000.0
2017-03-01,1315,5187600000.0
2017-03-02,1315,5177700000.0
2017-03-03,1315,5148000000.0
2017-03-06,1315,5128200000.0
2017-03-07,1315,5138100000.0
2017-03-08,1315,5167800000.0
2017-03-09,1315,5197500000.0
2017-03-10,1315,5197500000.0
2017-03-13,1315,5177700000.0
2017-03-14,1315,5167800000.0
2017-03-15,1315,5187600000.0
2017-03-16,1315,5197500000.0
2017-03-17,1315,5187600000.0
2017-03-20,1315,5157900000.0
2017-03-21,1315,5167800000.0
2017-03-22,1315,5148000000.0
2017-03-23,1315,5148000000.0
2017-03-24,1315,5197500000.0
2017-03-27,1315,5187600000.0
2017-03-28,1315,5187600000.0
2017-03-29,1315,5187600000.0
2017-03-30,1315,5187600000.0
2017-03-31,1315,5197500000.0
2017-04-05,1315,5128200000.0
2017-04-06,1315,5187600000.0
2017-04-07,1315,5187600000.0
2017-04-10,1315,5138100000.0
2017-04-11,1315,5167800000.0
2017-04-12,1315,5157900000.0
2017-04-13,1315,5167800000.0
2017-04-14,1315,5128200000.0
2017-04-17,1315,5088600000.0
2017-04-18,1315,5118300000.0
2017-04-19,1315,5088600000.0
2017-04-20,1315,5128200000.0
2017-04-21,1315,5088600000.0
2017-04-24,1315,5058900000.0
2017-04-25,1315,5078700000.0
2017-04-26,1315,5128200000.0
2017-04-27,1315,5118300000.0
2017-04-28,1315,5108400000.0
2017-05-02,1315,5078700000.0
2017-05-03,1315,5068800000.0
2017-05-04,1315,5108400000.0
2017-05-05,1315,5118300000.0
2017-05-08,1315,5068800000.0
2017-05-09,1315,5049000000.0
2017-05-10,1315,5068800000.0
2017-05-11,1315,5049000000.0
2017-05-12,1315,5098500000.0
2017-05-15,1315,5019300000.0
2017-05-16,1315,5068800000.0
2017-05-17,1315,5049000000.0
2017-05-18,1315,5029200000.0
2017-05-19,1315,5019300000.0
2017-05-22,1315,4999500000.0
2017-05-23,1315,4999500000.0
2017-05-24,1315,5019300000.0
2017-05-25,1315,4999500000.0
2017-05-26,1315,4979700000.0
2017-06-01,1315,4989600000.0
2017-06-02,1315,4979700000.0
2017-06-05,1315,4979700000.0
2017-06-06,1315,4989600000.0
2017-06-07,1315,5078700000.0
2017-06-08,1315,4989600000.0
2017-06-09,1315,4969800000.0
2017-06-12,1315,5039100000.0
2017-06-13,1315,4989600000.0
2017-06-14,1315,4989600000.0
2017-06-15,1315,5009400000.0
2017-06-16,1315,5009400000.0
2017-06-19,1315,4989600000.0
2017-06-20,1315,4979700000.0
2017-06-21,1315,5019300000.0
2017-06-22,1315,5098500000.0
2017-06-23,1315,5029200000.0
2017-06-26,1315,5088600000.0
2017-06-27,1315,5128200000.0
2017-06-28,1315,5346000000.0
2017-06-29,1315,5336100000.0
2017-06-30,1315,5286600000.0
2017-07-03,1315,5326200000.0
2017-07-04,1315,5306400000.0
2017-07-05,1315,5296500000.0
2017-07-06,1315,5306400000.0
2017-07-07,1315,5256900000.0
2017-07-10,1315,5256900000.0
2017-07-11,1315,5306400000.0
2017-07-12,1315,5266800000.0
2017-07-13,1315,5266800000.0
2017-07-14,1315,5316300000.0
2017-07-17,1315,5256900000.0
2017-07-18,1315,5207400000.0
2017-07-19,1315,5187600000.0
2017-07-20,1315,5207400000.0
2017-07-21,1315,5197500000.0
2017-07-24,1315,5187600000.0
2017-07-25,1315,5187600000.0
2017-07-26,1315,4959900000.0
2017-07-27,1315,4950000000.0
2017-07-28,1315,4950000000.0
2017-07-31,1315,5019300000.0
2017-08-01,1315,4999500000.0
2017-08-02,1315,4999500000.0
2017-08-03,1315,5029200000.0
2017-08-04,1315,5029200000.0
2017-08-07,1315,5068800000.0
2017-08-08,1315,5068800000.0
2017-08-09,1315,5068800000.0
2017-08-10,1315,5058900000.0
2017-08-11,1315,5029200000.0
2017-08-14,1315,5009400000.0
2017-08-15,1315,4959900000.0
2017-08-16,1315,4969800000.0
2017-08-17,1315,4979700000.0
2017-08-18,1315,4920300000.0
2017-08-21,1315,4969800000.0
2017-08-22,1315,4969800000.0
2017-08-23,1315,4969800000.0
2017-08-24,1315,4979700000.0
2017-08-25,1315,4989600000.0
2017-08-28,1315,5019300000.0
2017-08-29,1315,5039100000.0
2017-08-30,1315,4999500000.0
2017-08-31,1315,5167800000.0
2017-09-01,1315,5128200000.0
2017-09-04,1315,5128200000.0
2017-09-05,1315,5108400000.0
2017-09-06,1315,5029200000.0
2017-09-07,1315,5068800000.0
2017-09-08,1315,5058900000.0
2017-09-11,1315,5049000000.0
2017-09-12,1315,5058900000.0
2017-09-13,1315,5049000000.0
2017-09-14,1315,5068800000.0
2017-09-15,1315,5019300000.0
2017-09-18,1315,4989600000.0
2017-09-19,1315,4989600000.0
2017-09-20,1315,5009400000.0
2017-09-21,1315,5009400000.0
2017-09-22,1315,5029200000.0
2017-09-25,1315,4989600000.0
2017-09-26,1315,5029200000.0
2017-09-27,1315,5009400000.0
2017-09-28,1315,4989600000.0
2017-09-29,1315,4999500000.0
2017-10-02,1315,5108400000.0
2017-10-03,1315,5029200000.0
2017-10-05,1315,5058900000.0
2017-10-06,1315,5078700000.0
2017-10-11,1315,5068800000.0
2017-10-12,1315,5019300000.0
2017-10-13,1315,5049000000.0
2017-10-16,1315,5029200000.0
2017-10-17,1315,5009400000.0
2017-10-18,1315,5029200000.0
2017-10-19,1315,5029200000.0
2017-10-20,1315,5049000000.0
2017-10-23,1315,5009400000.0
2017-10-24,1315,5009400000.0
2017-10-25,1315,5049000000.0
2017-10-26,1315,5019300000.0
2017-10-27,1315,5009400000.0
2017-10-30,1315,5029200000.0
2017-10-31,1315,4999500000.0
2017-11-01,1315,5009400000.0
2017-11-02,1315,5029200000.0
2017-11-03,1315,5019300000.0
2017-11-06,1315,5049000000.0
2017-11-07,1315,5068800000.0
2017-11-08,1315,5088600000.0
2017-11-09,1315,5088600000.0
2017-11-10,1315,5088600000.0
2017-11-13,1315,5098500000.0
2017-11-14,1315,5088600000.0
2017-11-15,1315,5078700000.0
2017-11-16,1315,5049000000.0
2017-11-17,1315,5068800000.0
2017-11-20,1315,5049000000.0
2017-11-21,1315,5039100000.0
2017-11-22,1315,5049000000.0
2017-11-23,1315,5039100000.0
2017-11-24,1315,5068800000.0
2017-11-27,1315,5039100000.0
2017-11-28,1315,5039100000.0
2017-11-29,1315,5019300000.0
2017-11-30,1315,5029200000.0
2017-12-01,1315,5039100000.0
2017-12-04,1315,5029200000.0
2017-12-05,1315,5019300000.0
2017-12-06,1315,5029200000.0
2017-12-07,1315,5009400000.0
2017-12-08,1315,5029200000.0
2017-12-11,1315,5019300000.0
2017-12-12,1315,5019300000.0
2017-12-13,1315,5009400000.0
2017-12-14,1315,5039100000.0
2017-12-15,1315,5049000000.0
2017-12-18,1315,5039100000.0
2017-12-19,1315,5039100000.0
2017-12-20,1315,5019300000.0
2017-12-21,1315,5029200000.0
2017-12-22,1315,5019300000.0
2017-12-25,1315,5039100000.0
2017-12-26,1315,5039100000.0
2017-12-27,1315,5039100000.0
2017-12-28,1315,5049000000.0
2017-12-29,1315,5068800000.0
2018-01-02,1315,5108400000.0
2018-01-03,1315,5108400000.0
2018-01-04,1315,5108400000.0
2018-01-05,1315,5148000000.0
2018-01-08,1315,5108400000.0
2018-01-09,1315,5128200000.0
2018-01-10,1315,5148000000.0
2018-01-11,1315,5138100000.0
2018-01-12,1315,5227200000.0
2018-01-15,1315,5167800000.0
2018-01-16,1315,5167800000.0
2018-01-17,1315,5247000000.0
2018-01-18,1315,5187600000.0
2018-01-19,1315,5177700000.0
2018-01-22,1315,5187600000.0
2018-01-23,1315,5177700000.0
2018-01-24,1315,5187600000.0
2018-01-25,1315,5207400000.0
2018-01-26,1315,5187600000.0
2018-01-29,1315,5197500000.0
2018-01-30,1315,5217300000.0
2018-01-31,1315,5197500000.0
2018-02-01,1315,5217300000.0
2018-02-02,1315,5187600000.0
2018-02-05,1315,5177700000.0
2018-02-06,1315,5148000000.0
2018-02-07,1315,5207400000.0
2018-02-08,1315,5148000000.0
2018-02-09,1315,5088600000.0
2018-02-12,1315,5187600000.0
2018-02-21,1315,5227200000.0
2018-02-22,1315,5217300000.0
2018-02-23,1315,5217300000.0
2018-02-26,1315,5177700000.0
2018-02-27,1315,5227200000.0
2018-03-01,1315,5237100000.0
2018-03-02,1315,5237100000.0
2018-03-05,1315,5237100000.0
2018-03-06,1315,5197500000.0
2018-03-07,1315,5217300000.0
2018-03-08,1315,5217300000.0
2018-03-09,1315,5207400000.0
2018-03-12,1315,5217300000.0
2018-03-13,1315,5187600000.0
2018-03-14,1315,5217300000.0
2018-03-15,1315,5217300000.0
2018-03-16,1315,5217300000.0
2018-03-19,1315,5237100000.0
2018-03-20,1315,5227200000.0
2018-03-21,1315,5237100000.0
2018-03-22,1315,5266800000.0
2018-03-23,1315,5237100000.0
2018-03-26,1315,5247000000.0
2018-03-27,1315,5306400000.0
2018-03-28,1315,5346000000.0
2018-03-29,1315,5256900000.0
2018-03-30,1315,5266800000.0
2018-04-02,1315,5326200000.0
2018-04-03,1315,5316300000.0
2018-04-09,1315,5336100000.0
2018-04-10,1315,5326200000.0
2018-04-11,1315,5336100000.0
2018-04-12,1315,5326200000.0
2018-04-13,1315,5336100000.0
2018-04-16,1315,5306400000.0
2018-04-17,1315,5217300000.0
2018-04-18,1315,5326200000.0
2018-04-19,1315,5306400000.0
2018-04-20,1315,5306400000.0
2018-04-23,1315,5306400000.0
2018-04-24,1315,5306400000.0
2018-04-25,1315,5286600000.0
2018-04-26,1315,5296500000.0
2018-04-27,1315,5217300000.0
2018-04-30,1315,5296500000.0
2018-05-02,1315,5286600000.0
2018-05-03,1315,5247000000.0
2018-05-04,1315,5227200000.0
2018-05-07,1315,5227200000.0
2018-05-08,1315,5247000000.0
2018-05-09,1315,5237100000.0
2018-05-10,1315,0.0
2018-05-11,1315,5256900000.0
2018-05-14,1315,5266800000.0
2018-05-15,1315,5197500000.0
2018-05-16,1315,5197500000.0
2018-05-17,1315,5197500000.0
2018-05-18,1315,5306400000.0
2018-05-21,1315,0.0
2018-05-22,1315,5247000000.0
2018-05-23,1315,5247000000.0
2018-05-24,1315,5247000000.0
2018-05-25,1315,5256900000.0
2018-05-28,1315,5247000000.0
2018-05-29,1315,5227200000.0
2018-05-30,1315,5207400000.0
2018-05-31,1315,5256900000.0
2018-06-01,1315,5247000000.0
2018-06-04,1315,5266800000.0
2018-06-05,1315,5266800000.0
2018-06-06,1315,5256900000.0
2018-06-07,1315,5296500000.0
2018-06-08,1315,5326200000.0
2018-06-11,1315,5306400000.0
2018-06-12,1315,5306400000.0
2018-06-13,1315,5306400000.0
2018-06-14,1315,5286600000.0
2018-06-15,1315,5266800000.0
2018-06-19,1315,5296500000.0
